Sonrası	O
?	O
Sonrası	O
yok	O
.	O

Allah	O
doğru	O
yolu	O
göstersin	O
,	O
kılıf	O
uydurmak	O
böyle	O
bişey	O
demekki	O
.	O

Samet	B-PER
Mengüç	I-PER
katıldı	O
.	O

Muğla	B-ORG
Devlet	I-ORG
Hastanesiʼnde	I-ORG
görevli	O
Doktor	O
H.T.’nin	B-PER
görevini	O
ihmal	O
ettiğini	O
düşünüyorum	O
.	O

bel	O
ağrısı	O
arkadaşlar	O
yaklaşık	O
1	O
haftadır	O
eblim	O
ağrıyo	O
futbol	O
oynuyorum	O
.	O

Bu	O
nedenle	O
korunma	O
yöntemleri	O
daha	O
fazla	O
önem	O
kazanır	O
"	O
dedi	O
.	O

Kategori	O
5ʼe	O
giriyor	O
sanırım	O
.	O

İçinden	O
"	O
Sadece	O
Soruya	O
Odaklan	O
"	O
"	O
Soruya	O
Odaklan	O
"	O
Filan	O
De	O
Zamanla	O
Alışırsın	O
.	O

Bundan	O
bısa	O
bir	O
süre	O
önce	O
yapılan	O
başka	O
bir	O
açıklamada	O
,	O
prensin	O
yoğun	O
bakımda	O
olduğu	O
ve	O
hayati	O
tehlikesinin	O
bulunduğu	O
belirtilmişti	O
.	O

yapıldıktan	O
üç	O
-	O
dört	O
gün	O
sonra	O
yan	O
etkisini	O
çok	O
da	O
güzel	O
gösterebiliyormuş	O
.	O

Hollandaʼda	B-GPE
yaşayan	O
Bosnalıların	O
öncüllük	O
ettiği	O
kampanyada	O
toplanan	O
malzemeler	O
de	O
yola	O
çıkmaya	O
başladı	O
.	O

böyle	O
bir	O
ağrı	O
şekli	O
yok	O
amk	O
.	O

[	O
Linkleri	O
sadece	O
kayıtlı	O
üyelerimiz	O
görebilir	O
.	O

Kısa	O
sürede	O
etkili	O
olan	O
yağmur	O
sokakları	O
göle	O
çevirdi	O
.	O

İlaçlar	O
imalatçılardan	O
alındıktan	O
sonra	O
ya	O
daha	O
küçük	O
dozlara	O
ayrılıyor	O
ya	O
da	O
farklı	O
içerikler	O
karıştırılıyor	O
.	O

Yetkililer	O
sekizi	O
Perşembe	O
günü	O
olmak	O
üzere	O
27	O
kişinin	O
hayatını	O
kaybettiğini	O
ve	O
61	O
bini	O
aşkın	O
kişinin	O
evsiz	O
kaldığını	O
açıkladı	O
.	O

Yağma	O
olabilir	O
.	O

Sıla	B-PER
Akhan	I-PER
,	O
kongrede	O
basın	O
mensuplarının	O
sorularını	O
cevapladı	O
.	O

Musleraya	B-PER
gelirsek	O
.	O

Bizim	O
ülkemizde	O
henüz	O
Sağlık	O
Uygulama	O
Tebliğiʼne	O
girmeyen	O
bir	O
iki	O
ilaç	O
bulunduğu	O
için	O
bahsettiğim	O
altı	O
opsiyon	O
henüz	O
kullanımda	O
değildir	O
.	O

Bunların	O
üzerinde	O
de	O
durulması	O
gerektiğini	O
düşünüyorum	O
.	O

geçmiyor	O
da	O
illet	O
.	O

halen	O
replisin	O
.	O

Nargis	O
,	O
Myanmarʼda	B-GPE
(	O
1980	O
)	O
4000	O
ölüme	O
neden	O
oldu	O
.	O

SEL	O
DÜNYADA	O
DA	O
CAN	O
ALIYOR	O
35	O
yaşındaki	O
Gülsüm	B-PER
Demirci	I-PER
,	O
64	O
yaşındaki	O
Ali	B-PER
Demirci	I-PER
ve	O
aynı	O
aileden	O
iki	O
kişinin	O
göçük	O
altından	O
cesedi	O
çıkarıldı	O
.	O

Herhangi	O
bir	O
zorlama	O
yok	O
.	O

(	O
bkz	O
:	O
yolanda	O
tayfunu	O
)	O
(	O
bkz	O
:	O
tacloban	B-GPE
)	O
şu	O
sözlükte	O
,	O
binlerce	O
kişinin	O
ölümüne	O
sebep	O
olan	O
tayfun	O
hakkında	O
sedece	O
iki	O
giri	O
var	O
.	O

Bu	O
hastalık	O
20	O
günden	O
beri	O
var	O
.	O

Gerçektende	O
hazin	O
bir	O
son	O
ama	O
benim	O
düşüncem	O
orda	O
onların	O
carptıgı	O
şey	O
buz	O
dağı	O
değil	O
bu	O
gemiyi	O
tanrı	O
bile	O
batıramaz	O
dedikleri	O
sözdü	O
.	O

Meteoroloji	B-ORG
Genel	O
Müdürü	O
Mehmet	B-PER
Çağlar	I-PER
,	O
Muğlaʼnın	B-GPE
Marmaris	B-GPE
ilçesinde	I-GPE
yapımı	O
tamamlanan	O
ve	O
Başbakan	O
Recep	B-PER
Tayyip	I-PER
Erdoğan	I-PER
tarafından	O
15	O
Ocak	O
tarihinde	O
Fethiyeʼden	B-GPE
açılışı	O
yapılan	O
Meteorolojik	O
Radar	O
Ağı	O
hakkında	O
bilgi	O
verdi	O
.	O

Filipinler	B-GPE
için	O
son	O
22	O
yılın	O
en	O
büyük	O
tayfunu	O
olduğu	O
yazıyo	O
.	O

HACI	O
ADAYLARI	O
ÇOCUK	O
AŞISI	O
OLACAK	O
İnfeksiyon	O
ve	O
özellikle	O
de	O
menenjit	O
üzerine	O
Türkiyeʼde	B-GPE
en	O
önemli	O
araştırmaları	O
yapan	O
Hacettepe	B-ORG
Üniversitesi	I-ORG
Öğretim	O
Üyesi	O
Prof	O
.	O

Seyahat	O
sırasında	O
ellerin	O
sık	O
sık	O
su	O
ve	O
sabunla	O
yıkanması	O
gerektiğini	O
vurgulayan	O
Hatipoğlu	B-PER
,	O
"	O
Maske	O
kullanımı	O
,	O
sağlık	O
kuruluşlarına	O
başvuru	O
durumunda	O
kullanılan	O
iğnelerin	O
tek	O
kullanımlık	O
ve	O
aletlerin	O
steril	O
olmasına	O
dikkat	O
etmemiz	O
bu	O
hastalıktan	O
korunabilmemize	O
yardımcı	O
olabilir	O
.	O

sahbaz	B-PER
in	O
harikulade	O
yili	O
1979	O
romaninda	O
yazarin	O
çarpici	O
göndermeler	O
yaptigi	O
salgin	O
.	O

Phoenix	B-ORG
-	O
Golden	B-ORG
State	I-ORG
maçında	O
toplam	O
284	O
sayı	O
oldu	O
.	O

Karaciğere	O
yerleşmesi	O
ile	O
bilinen	O
ve	O
karaciğere	O
eriştikten	O
burada	O
önemli	O
rahatsızlıklar	O
oluşturan	O
bir	O
virüstür	O
.	O

vucudu	O
hafiften	O
sallayan	O
bi	O
aşıdır	O
.	O

Şu	O
ana	O
kadar	O
7	O
kişi	O
kurtarıldı	O
.	O

Farkında	O
olmadan	O
,	O
diğer	O
gözlerin	O
“	O
nesne	O
”	O
si	O
haline	O
